Tiempo 	 Voltaje 
0.000003 		 8 
0.000213 		 428 
0.000274 		 427 
0.000339 		 428 
0.000399 		 428 
0.000459 		 428 
0.000515 		 427 
0.000576 		 428 
0.000642 		 428 
0.000710 		 428 
0.000772 		 427 
0.000838 		 428 
0.000905 		 428 
0.000969 		 4425 
0.001028 		 426 
0.001108 		 427 
0.001164 		 426 
0.001227 		 425 
0.001294 		 426 
0.001362 		 427 
0.001428 		 426 
0.001492 		 425 
0.001564 		 426 
0.001629 		 427 
0.001681 		 426 
0.001737 		 425 
0.001793 		 426 
0.001846 		 427 
0.001908 		 425 
0.001962 		 425 
0.002014 		 427 
0.002079 		 427 
0.002143 		 425 
0.002209 		 426 
0.002264 		 427 
0.002324 		 427 
0.002380 		 425 
0.002432 		 426 
0.002492 		 427 
0.002547 		 426 
0.002583 		 425 
0.002627 		 426 
0.002683 		 427 
0.002731 		 426 
0.002772 		 425 
0.002826 		 426 
0.002877 		 427 
0.002927 		 425 
0.002987 		 425 
0.003044 		 426 
0.003094 		 427 
0.003156 		 425 
0.003220 		 425 
0.003279 		 427 
0.003335 		 426 
0.003402 		 425 
0.003463 		 426 
0.003518 		 427 
0.003577 		 426 
0.003641 		 425 
