Multi Timer Lap list
abre puerta
No ; Duration ; Lap
1 ; 00:02:55.857 ; 00:02:55.857
2 ; 00:04:30.599 ; 00:01:34.742
3 ; 00:06:01.633 ; 00:01:31.034
4 ; 00:08:21.203 ; 00:02:19.570
5 ; 00:09:35.238 ; 00:01:14.035
6 ; 00:10:56.290 ; 00:01:21.052
7 ; 00:12:20.333 ; 00:01:24.043
8 ; 00:15:23.147 ; 00:03:02.814
9 ; 00:18:56.246 ; 00:03:33.099
10 ; 00:20:10.599 ; 00:01:14.353
11 ; 00:21:38.973 ; 00:01:28.374
12 ; 00:22:46.514 ; 00:01:07.541
13 ; 00:24:24.662 ; 00:01:38.148
14 ; 00:26:00.735 ; 00:01:36.073
15 ; 00:27:34.993 ; 00:01:34.258
16 ; 00:29:04.206 ; 00:01:29.213
17 ; 00:29:53.051 ; 00:00:48.845
