Multi Timer Lap list
sensor
No ; Duration ; Lap
1 ; 00:00:17.459 ; 00:00:17.459
2 ; 00:03:18.534 ; 00:03:01.075
3 ; 00:08:47.595 ; 00:05:29.061
4 ; 00:13:25.984 ; 00:04:38.389
5 ; 00:18:00.500 ; 00:04:34.516
6 ; 00:22:50.426 ; 00:04:49.926
7 ; 00:24:19.627 ; 00:01:29.201
8 ; 00:28:47.016 ; 00:04:27.389
9 ; 00:33:26.792 ; 00:04:39.776
10 ; 00:36:37.523 ; 00:03:10.731
11 ; 00:41:41.581 ; 00:05:04.058
12 ; 00:45:25.618 ; 00:03:44.037
13 ; 00:55:17.173 ; 00:09:51.555
14 ; 01:00:34.171 ; 00:05:16.998
15 ; 01:11:23.639 ; 00:10:49.468
16 ; 01:11:47.980 ; 00:00:24.341
