Multi Timer Lap list
cierra puerta
No ; Duration ; Lap
1 ; 00:03:35.476 ; 00:03:35.476
2 ; 00:05:05.006 ; 00:01:29.530
3 ; 00:06:30.029 ; 00:01:25.023
4 ; 00:08:37.596 ; 00:02:07.567
5 ; 00:09:46.004 ; 00:01:08.408
6 ; 00:11:11.249 ; 00:01:25.245
7 ; 00:13:49.419 ; 00:02:38.170
8 ; 00:17:33.746 ; 00:03:44.327
9 ; 00:19:07.708 ; 00:01:33.962
10 ; 00:20:26.871 ; 00:01:19.163
11 ; 00:21:48.703 ; 00:01:21.832
12 ; 00:23:06.464 ; 00:01:17.761
13 ; 00:24:53.394 ; 00:01:46.930
14 ; 00:26:09.595 ; 00:01:16.201
15 ; 00:27:46.849 ; 00:01:37.254
16 ; 00:29:53.051 ; 00:02:06.202
