Multi Timer Lista de vueltas
cierra puerta
Número ; Duration ; Vuelta
1 ; 00:07:23.659 ; 00:07:23.659
2 ; 00:09:01.354 ; 00:01:37.695
3 ; 00:10:36.241 ; 00:01:34.887
4 ; 00:12:26.543 ; 00:01:50.302
5 ; 00:13:48.662 ; 00:01:22.119
6 ; 00:36:46.104 ; 00:22:57.442
7 ; 00:38:55.557 ; 00:02:09.453
8 ; 00:40:40.953 ; 00:01:45.396
9 ; 00:42:52.530 ; 00:02:11.577
10 ; 00:44:13.061 ; 00:01:20.531
11 ; 00:46:12.086 ; 00:01:59.025
12 ; 01:10:26.293 ; 00:24:14.207
13 ; 01:14:03.344 ; 00:03:37.051
14 ; 01:16:30.415 ; 00:02:27.071
15 ; 01:18:37.919 ; 00:02:07.504
16 ; 01:20:56.675 ; 00:02:18.756
17 ; 01:22:22.634 ; 00:01:25.959
18 ; 01:22:45.779 ; 00:00:23.145
