Multi Timer Lap list
abre puerta
No ; Duration ; Lap
1 ; 00:01:27.959 ; 00:01:27.959
2 ; 00:04:29.435 ; 00:03:01.476
3 ; 00:06:53.327 ; 00:02:23.892
4 ; 00:11:10.202 ; 00:04:16.875
5 ; 00:41:08.065 ; 00:29:57.863
6 ; 00:42:56.178 ; 00:01:48.113
7 ; 00:45:09.260 ; 00:02:13.082
8 ; 00:47:19.403 ; 00:02:10.143
9 ; 00:49:42.272 ; 00:02:22.869
10 ; 00:51:44.003 ; 00:02:01.731
11 ; 00:54:16.859 ; 00:02:32.856
12 ; 00:56:06.492 ; 00:01:49.633
13 ; 00:57:52.191 ; 00:01:45.699
14 ; 00:59:27.904 ; 00:01:35.713
15 ; 01:01:18.430 ; 00:01:50.526
16 ; 01:19:36.776 ; 00:18:18.346
17 ; 01:22:29.782 ; 00:02:53.006
18 ; 01:24:01.368 ; 00:01:31.586
19 ; 01:25:36.716 ; 00:01:35.348
20 ; 01:27:04.211 ; 00:01:27.495
21 ; 01:28:54.118 ; 00:01:49.907
22 ; 01:32:57.143 ; 00:04:03.025
23 ; 01:33:59.158 ; 00:01:02.015
