Multi Timer Lap list
cierra puerta
No ; Duration ; Lap
1 ; 00:01:48.907 ; 00:01:48.907
2 ; 00:04:49.699 ; 00:03:00.792
3 ; 00:07:14.274 ; 00:02:24.575
4 ; 00:42:05.652 ; 00:34:51.378
5 ; 00:43:49.914 ; 00:01:44.262
6 ; 00:45:25.557 ; 00:01:35.643
7 ; 00:47:33.324 ; 00:02:07.767
8 ; 00:49:18.984 ; 00:01:45.660
9 ; 00:52:01.184 ; 00:02:42.200
10 ; 00:54:00.675 ; 00:01:59.491
11 ; 00:55:44.127 ; 00:01:43.452
12 ; 00:57:27.494 ; 00:01:43.367
13 ; 00:59:13.966 ; 00:01:46.472
14 ; 01:19:59.764 ; 00:20:45.798
15 ; 01:21:54.201 ; 00:01:54.437
16 ; 01:23:24.544 ; 00:01:30.343
17 ; 01:25:08.659 ; 00:01:44.115
18 ; 01:26:37.370 ; 00:01:28.711
19 ; 01:28:36.071 ; 00:01:58.701
20 ; 01:33:07.544 ; 00:04:31.473
