Multi Timer Lista de vueltas
abre puerta
Número ; Duration ; Vuelta
1 ; 00:00:46.756 ; 00:00:46.756
2 ; 00:03:25.626 ; 00:02:38.870
3 ; 00:04:22.098 ; 00:00:56.472
4 ; 00:13:32.544 ; 00:09:10.446
5 ; 00:14:54.599 ; 00:01:22.055
6 ; 00:16:50.000 ; 00:01:55.401
7 ; 00:18:48.264 ; 00:01:58.264
8 ; 00:21:13.525 ; 00:02:25.261
9 ; 00:22:48.636 ; 00:01:35.111
10 ; 00:26:09.603 ; 00:03:20.967
11 ; 00:29:30.372 ; 00:03:20.769
12 ; 00:30:59.771 ; 00:01:29.399
13 ; 00:32:22.774 ; 00:01:23.003
14 ; 00:41:21.035 ; 00:08:58.261
15 ; 00:41:24.031 ; 00:00:02.996
16 ; 00:43:27.532 ; 00:02:03.501
17 ; 00:45:50.309 ; 00:02:22.777
18 ; 00:51:18.906 ; 00:05:28.597
19 ; 00:53:57.493 ; 00:02:38.587
20 ; 00:55:11.331 ; 00:01:13.838
21 ; 00:57:03.650 ; 00:01:52.319
22 ; 00:58:29.610 ; 00:01:25.960
23 ; 01:00:30.145 ; 00:02:00.535
24 ; 01:01:54.152 ; 00:01:24.007
25 ; 01:02:45.004 ; 00:00:50.852
26 ; 01:15:55.339 ; 00:13:10.335
27 ; 01:16:21.202 ; 00:00:25.863
28 ; 01:22:32.784 ; 00:06:11.582
29 ; 01:23:59.453 ; 00:01:26.669
30 ; 01:25:32.127 ; 00:01:32.674
31 ; 01:26:57.201 ; 00:01:25.074
32 ; 01:28:55.105 ; 00:01:57.904
33 ; 01:29:22.408 ; 00:00:27.303
34 ; 01:42:05.656 ; 00:12:43.248
35 ; 01:42:17.874 ; 00:00:12.218
36 ; 01:47:57.735 ; 00:05:39.861
37 ; 01:49:32.763 ; 00:01:35.028
38 ; 01:51:52.784 ; 00:02:20.021
39 ; 01:53:24.240 ; 00:01:31.456
40 ; 01:55:42.116 ; 00:02:17.876
41 ; 01:56:07.532 ; 00:00:25.416
42 ; 02:07:21.266 ; 00:11:13.734
43 ; 02:08:08.173 ; 00:00:46.907
44 ; 02:12:21.885 ; 00:04:13.712
45 ; 02:13:54.486 ; 00:01:32.601
46 ; 02:15:32.343 ; 00:01:37.857
47 ; 02:16:51.615 ; 00:01:19.272
48 ; 02:19:13.853 ; 00:02:22.238
49 ; 02:19:49.502 ; 00:00:35.649
50 ; 02:19:58.626 ; 00:00:09.124
