Multi Timer Lista de vueltas
cierra puerta
Número ; Duration ; Vuelta
1 ; 00:00:53.656 ; 00:00:53.656
2 ; 00:03:38.623 ; 00:02:44.967
3 ; 00:04:22.098 ; 00:00:43.475
4 ; 00:13:32.544 ; 00:09:10.446
5 ; 00:15:17.877 ; 00:01:45.333
6 ; 00:17:07.801 ; 00:01:49.924
7 ; 00:19:10.012 ; 00:02:02.211
8 ; 00:21:20.632 ; 00:02:10.620
9 ; 00:23:08.745 ; 00:01:48.113
10 ; 00:26:44.238 ; 00:03:35.493
11 ; 00:29:53.266 ; 00:03:09.028
12 ; 00:31:28.295 ; 00:01:35.029
13 ; 00:32:22.774 ; 00:00:54.479
14 ; 00:41:21.035 ; 00:08:58.261
15 ; 00:42:08.962 ; 00:00:47.927
16 ; 00:43:51.561 ; 00:01:42.599
17 ; 00:45:50.309 ; 00:01:58.748
18 ; 00:51:18.906 ; 00:05:28.597
19 ; 00:53:59.272 ; 00:02:40.366
20 ; 00:55:35.140 ; 00:01:35.868
21 ; 00:57:11.401 ; 00:01:36.261
22 ; 00:58:54.720 ; 00:01:43.319
23 ; 01:00:41.874 ; 00:01:47.154
24 ; 01:02:26.142 ; 00:01:44.268
25 ; 01:02:45.004 ; 00:00:18.862
26 ; 01:15:55.339 ; 00:13:10.335
27 ; 01:21:05.016 ; 00:05:09.677
28 ; 01:23:00.321 ; 00:01:55.305
29 ; 01:24:20.750 ; 00:01:20.429
30 ; 01:25:56.388 ; 00:01:35.638
31 ; 01:27:38.264 ; 00:01:41.876
32 ; 01:29:06.889 ; 00:01:28.625
33 ; 01:29:22.408 ; 00:00:15.519
34 ; 01:42:05.656 ; 00:12:43.248
35 ; 01:45:57.080 ; 00:03:51.424
36 ; 01:48:16.825 ; 00:02:19.745
37 ; 01:50:08.266 ; 00:01:51.441
38 ; 01:52:16.736 ; 00:02:08.470
39 ; 01:54:17.769 ; 00:02:01.033
40 ; 01:55:54.482 ; 00:01:36.713
41 ; 01:56:07.532 ; 00:00:13.050
42 ; 02:07:21.266 ; 00:11:13.734
43 ; 02:10:50.611 ; 00:03:29.345
44 ; 02:12:37.171 ; 00:01:46.560
45 ; 02:14:14.910 ; 00:01:37.739
46 ; 02:15:51.961 ; 00:01:37.051
47 ; 02:17:52.688 ; 00:02:00.727
48 ; 02:19:36.143 ; 00:01:43.455
49 ; 02:19:49.502 ; 00:00:13.359
50 ; 02:19:58.626 ; 00:00:09.124
