Multi Timer Lista de vueltas
toques sensor
Número ; Duration ; Vuelta
1 ; 00:01:09.155 ; 00:01:09.155
2 ; 00:04:22.098 ; 00:03:12.943
3 ; 00:13:32.544 ; 00:09:10.446
4 ; 00:16:55.163 ; 00:03:22.619
5 ; 00:19:31.764 ; 00:02:36.601
6 ; 00:26:47.850 ; 00:07:16.086
7 ; 00:26:48.050 ; 00:00:00.200
8 ; 00:29:56.996 ; 00:03:08.946
9 ; 00:32:22.774 ; 00:02:25.778
10 ; 00:41:21.035 ; 00:08:58.261
11 ; 00:42:47.867 ; 00:01:26.832
12 ; 00:45:50.309 ; 00:03:02.442
13 ; 00:51:18.906 ; 00:05:28.597
14 ; 00:52:06.666 ; 00:00:47.760
15 ; 00:57:51.556 ; 00:05:44.890
16 ; 01:00:52.973 ; 00:03:01.417
17 ; 01:02:45.004 ; 00:01:52.031
18 ; 01:15:55.339 ; 00:13:10.335
19 ; 01:18:56.980 ; 00:03:01.641
20 ; 01:21:17.368 ; 00:02:20.388
21 ; 01:24:26.940 ; 00:03:09.572
22 ; 01:26:05.872 ; 00:01:38.932
23 ; 01:27:52.819 ; 00:01:46.947
24 ; 01:29:22.408 ; 00:01:29.589
25 ; 01:42:05.656 ; 00:12:43.248
26 ; 01:44:47.117 ; 00:02:41.461
27 ; 01:47:38.132 ; 00:02:51.015
28 ; 01:51:27.337 ; 00:03:49.205
29 ; 01:56:07.532 ; 00:04:40.195
30 ; 02:07:21.266 ; 00:11:13.734
31 ; 02:09:17.559 ; 00:01:56.293
32 ; 02:11:10.929 ; 00:01:53.370
33 ; 02:16:01.441 ; 00:04:50.512
34 ; 02:19:07.644 ; 00:03:06.203
35 ; 02:19:49.502 ; 00:00:41.858
36 ; 02:19:58.626 ; 00:00:09.124
