Multi Timer Lista de vueltas
incomodidad
Número ; Duration ; Vuelta
1 ; 00:04:22.098 ; 00:04:22.098
2 ; 00:13:32.544 ; 00:09:10.446
3 ; 00:32:22.774 ; 00:18:50.230
4 ; 00:41:21.035 ; 00:08:58.261
5 ; 00:45:50.309 ; 00:04:29.274
6 ; 00:51:18.906 ; 00:05:28.597
7 ; 01:02:45.004 ; 00:11:26.098
8 ; 01:15:55.339 ; 00:13:10.335
9 ; 01:29:22.408 ; 00:13:27.069
10 ; 01:42:05.656 ; 00:12:43.248
11 ; 01:56:07.532 ; 00:14:01.876
12 ; 02:07:21.266 ; 00:11:13.734
13 ; 02:19:49.502 ; 00:12:28.236
14 ; 02:19:58.626 ; 00:00:09.124
