Multi Timer Lap list
abre puerta
No ; Duration ; Lap
1 ; 00:01:07.435 ; 00:01:07.435
2 ; 00:03:55.092 ; 00:02:47.657
3 ; 00:06:23.165 ; 00:02:28.073
4 ; 00:08:44.689 ; 00:02:21.524
5 ; 00:11:05.123 ; 00:02:20.434
6 ; 00:13:23.131 ; 00:02:18.008
7 ; 00:16:01.514 ; 00:02:38.383
8 ; 00:17:57.221 ; 00:01:55.707
9 ; 00:19:45.497 ; 00:01:48.276
10 ; 00:22:35.766 ; 00:02:50.269
11 ; 00:24:52.390 ; 00:02:16.624
12 ; 00:29:53.171 ; 00:05:00.781
13 ; 00:31:55.945 ; 00:02:02.774
14 ; 00:32:11.314 ; 00:00:15.369
15 ; 00:35:59.007 ; 00:03:47.693
16 ; 00:38:09.465 ; 00:02:10.458
17 ; 00:40:54.518 ; 00:02:45.053
18 ; 00:42:23.274 ; 00:01:28.756
19 ; 00:45:30.458 ; 00:03:07.184
20 ; 00:46:51.748 ; 00:01:21.290
21 ; 00:48:44.679 ; 00:01:52.931
22 ; 00:50:50.939 ; 00:02:06.260
23 ; 00:52:32.087 ; 00:01:41.148
24 ; 00:54:07.465 ; 00:01:35.378
25 ; 00:55:45.055 ; 00:01:37.590
26 ; 00:58:54.636 ; 00:03:09.581
27 ; 00:59:04.689 ; 00:00:10.053
