Multi Timer Lista de vueltas
puerta abre
Número ; Duration ; Vuelta
1 ; 00:00:39.364 ; 00:00:39.364
2 ; 00:03:38.814 ; 00:02:59.450
3 ; 00:06:10.346 ; 00:02:31.532
4 ; 00:08:38.031 ; 00:02:27.685
5 ; 00:11:09.785 ; 00:02:31.754
6 ; 00:13:55.331 ; 00:02:45.546
7 ; 00:16:49.856 ; 00:02:54.525
8 ; 00:19:09.323 ; 00:02:19.467
9 ; 00:20:52.270 ; 00:01:42.947
10 ; 00:24:01.277 ; 00:03:09.007
11 ; 00:31:03.878 ; 00:07:02.601
12 ; 00:32:59.192 ; 00:01:55.314
13 ; 00:33:59.088 ; 00:00:59.896
14 ; 00:35:43.567 ; 00:01:44.479
15 ; 00:38:25.576 ; 00:02:42.009
16 ; 00:40:01.498 ; 00:01:35.922
17 ; 00:42:20.574 ; 00:02:19.076
18 ; 00:44:11.022 ; 00:01:50.448
19 ; 00:46:02.747 ; 00:01:51.725
20 ; 00:47:48.163 ; 00:01:45.416
21 ; 00:49:27.619 ; 00:01:39.456
22 ; 00:51:03.910 ; 00:01:36.291
23 ; 00:52:37.831 ; 00:01:33.921
24 ; 00:54:02.884 ; 00:01:25.053
25 ; 00:54:32.825 ; 00:00:29.941
26 ; 00:54:59.986 ; 00:00:27.161
