Multi Timer Lista de vueltas
puerta cierra
Número ; Duration ; Vuelta
1 ; 00:01:04.215 ; 00:01:04.215
2 ; 00:04:11.980 ; 00:03:07.765
3 ; 00:06:41.530 ; 00:02:29.550
4 ; 00:09:13.274 ; 00:02:31.744
5 ; 00:11:38.837 ; 00:02:25.563
6 ; 00:14:38.480 ; 00:02:59.643
7 ; 00:17:29.960 ; 00:02:51.480
8 ; 00:19:25.678 ; 00:01:55.718
9 ; 00:21:28.481 ; 00:02:02.803
10 ; 00:24:28.340 ; 00:02:59.859
11 ; 00:32:59.192 ; 00:08:30.852
12 ; 00:33:59.088 ; 00:00:59.896
13 ; 00:36:18.852 ; 00:02:19.764
14 ; 00:38:27.754 ; 00:02:08.902
15 ; 00:38:43.170 ; 00:00:15.416
16 ; 00:40:24.952 ; 00:01:41.782
17 ; 00:42:33.096 ; 00:02:08.144
18 ; 00:44:37.323 ; 00:02:04.227
19 ; 00:46:22.693 ; 00:01:45.370
20 ; 00:48:19.184 ; 00:01:56.491
21 ; 00:49:48.371 ; 00:01:29.187
22 ; 00:51:32.134 ; 00:01:43.763
23 ; 00:52:57.487 ; 00:01:25.353
24 ; 00:54:11.978 ; 00:01:14.491
25 ; 00:54:32.825 ; 00:00:20.847
26 ; 00:54:59.986 ; 00:00:27.161
